"","SubID","Muscle","Trial","MFR","ISI CV","TQ","TQ CV"
"1","C01","TA","Trial28",11.7012926933117,0.0832126566044632,0.194090284846455,0.0146277370219512
"2","C01","TA","Trial28",11.0068959262775,0.0830012832125517,0.194101353860555,0.0145991841244187
"3","C01","TA","Trial28",11.2708894642093,0.0852154692963991,0.194094098714496,0.0146060583720813
"4","C01","TA","Trial28",10.9939142979679,0.190799298839177,0.194199281588721,0.014417965980757
"5","C01","TA","Trial28",11.4525717571084,0.0845042781442855,0.194084020954373,0.0146643542347629
"6","C01","TA","Trial28",11.2382944053339,0.0914178942931836,0.194092773413879,0.0146298616241485
"7","C01","TA","Trial28",11.5173927230956,0.0866189790546102,0.19408886954167,0.0146301411295377
"8","C01","TA","Trial28",9.91755474864144,0.0912808927627308,0.194082459925451,0.0146667461257691
"9","C01","TA","Trial28",9.65678792619878,0.163285381430334,0.194207312260338,0.0143956946751433
"10","C01","TA","Trial28",11.4754908841878,0.0807250865848445,0.194092207298027,0.0146571606797092
"11","C01","TA","Trial28",11.8330779528754,0.113403875948028,0.194145986314019,0.0144844646399494
"12","C01","TA","Trial28",9.87995475995872,0.0881790459726692,0.194097468186893,0.0145796172779227
"13","C01","TA","Trial28",11.7337612125113,0.067926161107174,0.194088736429203,0.0146716321912955
"14","C01","TA","Trial28",12.287143293845,0.099221680508256,0.19408318995266,0.0146937550117311
"15","C01","TA","Trial28",10.2116738178566,0.106900418560377,0.194091843592943,0.01463892951362
"16","C01","TA","Trial28",9.68999717362862,0.132014570675255,0.195127198286012,0.0146887870739574
"17","C01","TA","Trial28",10.7755110183305,0.0795942389381965,0.194048081068792,0.0147940802646728
"18","C01","TA","Trial28",10.792753212306,0.0850618362988106,0.19404692331919,0.014797069452316
"19","C01","TA","Trial28",12.5322478350013,0.0858918838464672,0.194056047926332,0.0148003197967677
"20","C01","TA","Trial28",11.6768456940664,0.0950628479432959,0.194049910846015,0.0147997451472917
"21","C01","TA","Trial28",11.0130479783532,0.0746258877438167,0.194047409798761,0.0147951266929624
"22","C01","TA","Trial28",12.0754090928447,0.0837446347048194,0.194055295355195,0.0148071142478008
"23","C01","TA","Trial28",11.5599178516365,0.0944400834370176,0.194053538657983,0.0148117852579481
"24","C01","TA","Trial28",11.993250527062,0.0802698091052714,0.194051708795273,0.0147973002334976
"25","C01","TA","Trial28",12.142917972781,0.120851863272772,0.194158963840094,0.0144763929752895
"26","C01","TA","Trial28",12.2822852642516,0.086146310115736,0.196482385034332,0.00749920198100082
"27","C01","TA","Trial28",11.0064809601383,0.0931238238500229,0.194052713025763,0.014803262496782
"28","C01","TA","Trial28",11.2364258988211,0.0866459494065456,0.194054403260301,0.0148046906301649
"29","C01","TA","Trial28",11.9977479275515,0.0848075289646117,0.194052521268251,0.0147974975569999
"30","C01","TA","Trial28",12.3728181700475,0.0842421196130987,0.194054595672909,0.0148007401131918
"31","C01","TA","Trial29",10.7396882030314,0.112451259577775,0.171614363103265,0.0158556488189436
"32","C01","TA","Trial29",10.2865332079895,0.0861019030471296,0.175640525887032,0.0357443285201706
"33","C01","TA","Trial29",10.1011567618113,0.0927159664878049,0.175625865459848,0.0356869152131709
"34","C01","TA","Trial29",10.1653634244316,0.0872615951082407,0.171605637679259,0.0160294269171498
"35","C01","TA","Trial29",10.6896830324209,0.0958220925586533,0.175655315506205,0.0357812857533831
"36","C01","TA","Trial29",11.391180536639,0.104744645243325,0.174027453794836,0.0237876449810587
"37","C01","TA","Trial29",10.4968183696013,0.0918658843849893,0.175622451257252,0.0356860906738171
"38","C01","TA","Trial29",10.7819730718107,0.0757086639215546,0.175630033710463,0.0357052282679658
"39","C01","TA","Trial29",9.92480651485346,0.0820709619997516,0.175651304214477,0.0357700750702059
"40","C01","TA","Trial29",10.2258238537842,0.0829947906227296,0.175625796136074,0.0356968455237306
"41","C01","TA","Trial29",9.1589370171049,0.100533558098213,0.172599654892054,0.0183091086404443
"42","C01","TA","Trial29",11.1699790202024,0.0883572620077566,0.175640157275298,0.0357432484251791
"43","C01","TA","Trial29",9.69021077723777,0.0931889662329424,0.174466603886864,0.0270330195693515
"44","C01","TA","Trial29",11.1170549208545,0.0882434122297925,0.17564405132946,0.0357476705994659
"45","C01","TA","Trial29",11.4702680534881,0.0841907086802534,0.175652737251298,0.0357744086945389
"46","C01","TA","Trial29",10.3747263375306,0.0900403477333753,0.175646648254702,0.0357615864454777
"47","C01","TA","Trial29",11.4609134812529,0.0950734102951304,0.175646711401428,0.0357607751381295
"48","C01","TA","Trial29",9.74752047656921,0.116162063237486,0.170920121619348,0.0165003124395931
"49","C01","TA","Trial29",11.4242404031638,0.103171488349293,0.175655927679514,0.0357832358947243
"50","C01","TA","Trial29",10.4544368014673,0.090185138800894,0.17562200647589,0.0356835636993185
"51","C01","TA","Trial29",11.6148848170279,0.0953723247839239,0.172033508806285,0.0171201681702095
"52","C01","TA","Trial29",10.965046081823,0.0877669536962712,0.175654367810022,0.0357786616130369
"53","C01","TA","Trial30",11.5021431755907,0.0884423911683341,0.18282800549921,0.0146820095266695
"54","C01","TA","Trial30",11.5787489681161,0.0863829579780359,0.182813360655673,0.0146296472925044
"55","C01","TA","Trial30",12.0698836227633,0.0984975938023667,0.182821616961061,0.0147185609865182
"56","C01","TA","Trial30",11.3093984708872,0.0902549812136815,0.182845595876221,0.0147561550058088
"57","C01","TA","Trial30",12.8125424097221,0.0774551939470663,0.182300972335532,0.0147828413795038
"58","C01","TA","Trial30",12.9419757332236,0.130055306684858,0.182311056708419,0.0151385763408762
